eng,spa,source,otp
eat breakfast; breakfast; SBJ {fast-breaker} eats OBJ {breakfast} {TIME:breakfast time},,sun begin eat,sunkinyama
eat brunch; brunch; SBJ {bruncher} eats OBJ {brunch} {TIME:brunchtime},,be-early sun eat,citusunnyama
eat lunch; lunch; SBJ {luncher} eats OBJ {lunch} {TIME:lunchtime},,sun eat,sunnyama
eat merienda; lunch late; eat linner; SBJ {late luncher} eats OBJ {late lunch; linner} {TIME:linnertime},,be-late sun eat,hulisunnyama
eat supper; eat dinner; sup; dine; SBJ {diner; supper} eats OBJ {dinner; supper},,sun end eat,sunnunyama
eat dessert; eat midnight snack; SBJ {dessert} eats OBJ {dessert; midnight snack},,moon eat,fiknyama
dine out; OBJ {diner} buys IND {restaurant meal} from SBJ {restaurant; server} {LOCATION:restaurant; food court; dining area},,eat sell,nyamamai
grocery store,,no if dislike store,nyoayfhaumailyot
bookstore,,record store,telonmailyot
call shop,locutorio,notion store,nosyonmailyot
butchery,,be-dead animal store,uhutunmailyot
ticket booth,,ticket store,maihwokmailyot
satelite; artificial satelite,,metal moon,tatulonfik
micrometre; micron,,.000001 meter,lyonmencahnoluat
millimetre,,.001 metre,lyonmensan'methe
centimetre,,.01 metre,lyonmentos'methe
kilometre,,1-000 metre,lyonsan'methe
millilitre,,.001 litre,lyonmensan'lithe
milligram,,.001 gram,lyonmensan'kaham
kilogram,,1-000 gram,lyonsan'kaham
tonne,,1-000-000 gram,lyoncah'kaham
birth; give birth; get born; SBJ {biological mother} gives birth to OBJ {offspring; biological child; newborn} by IND {biological father}’s seed {TIME:birth; birthdate},,live create,iciestaki
sibling,,accompany child,pemamalon
anticle; aunt; uncle,,parent sibling,mamapemamalon
first cousin,,be-far relative,kulecincilum
grandparent,,×10^ 2 mother,lyontosmamales
great grandparent,,×10^ 3 mother,lyonsanmamales
great great grandparent,,×10^ 4 mother,lyonfolmamales
birthday,,birth day,iciestakisunkwelwel
project,,big job,motalonicelum
square; lot; park,,settlement region,cihwicon
park,,grass lot,kascihwicon
screen,,can-see surface,hulumah
screen; stream; show; SBJ {screener; streamer; television network} entertains OBJ visually with IND {video; movie; TV show} {LOCATION:cinema|INSTRUMENT:screen},,can-see entertain,humocaki
sing; play music; stream; SBJ {musician} sings or plays IND {music; song} to OBJ {LOCATION:concert hall},,can-hear entertain,oyemocaki
dance; SBJ {dancer} dances the IND {dance; dance move} for OBJ {LOCATION:dance floor},,move entertain,hilamocaki
storytell; SBJ {storyteller; host} tells IND {story; tale; audiobook; radio} to OBJ,,speak entertain,polamocaki
perform; play; SBJ {player; performer; actor} performs IND {performance; show; play} for OBJ {LOCATION:theatre; amphitheater},,person entertain,wonmocaki
literature; book; blog; web serial; paper,,read entertainment,tumocalum
news; current events; media,,be-young message,hwetilum
magazine; periodical,,be-rhythmic message,tutumutilum
sword,,be-long blade,lamaaklalon
strip; ribbon; a shape where all three dimensions are very different,,sheet string,hwokcyen
pre-educate; SBJ {pre-school teacher} teaches OBJ {pre-schooler} {LOCATION:pre-school|TIME:pre-kindergarden education},,be-early teach,citunoki
primarily educate; elementary school; middle school; SBJ {elementary school teacher} teaches OBJ {elementary schooler} {LOCATION:elementary school; middle school|TIME:primary education},,be-behind teach,anonoki
secondarily educate; high school; middle school; SBJ {high school teacher} teaches OBJ {high schooler} {LOCATION:high school; middle school|TIME:secondary education},,be-in-front teach,akenoki
tertiarily educate; college; university; higher educate; SBJ {professor} teaches OBJ {college student} {LOCATION:college; university|TIME:tertiary education},,be-late teach,hulinoki
kindergarden,,0 teach year,nulnokipumkwelwel
first grade,,1 teach year,kannokipumkwelwel
second grade,,2 teach year,tosnokipumkwelwel
freshman year of high school,,9 teach year,mesnokipumkwelwel
sophomore year of high school,,10 teach year,kannulnokipumkwelwel
junior year of high school,,11 teach year,kankannokipumkwelwel
senior year of high school,,12 teach year,kantosnokipumkwelwel
freshman year of college,,13 teach year,kansannokipumkwelwel
sophomore year of college,,14 teach year,kanfolnokipumkwelwel
junior year of college,,15 teach year,kanlimnokipumkwelwel
senior year of college,,16 teach year,kancahnokipumkwelwel
be undead; OBJ is undead {TIME:afterlife},,live repeat,icipeta
mine; quarry,,stone source,patolonmwonilum
well,,water source,icicwelonmwonilum
explode; blow up; detonate; SBJ {exploder} makes OBJ {exploded} explode,,break spread-out,lotokihepuki
implode; SBJ {imploder} makes OBJ {imploded} implode,,break gather,lotokicomiki
be timely; be on time; OBJ is at the correct time,,must be-early,tewicitu
be polite; act appropriately; SBJ is polite to OBJ,,culture be-friendly,sesyohau
be rude; act inappropriately; SBJ is rude to OBJ,,culture be-hostile,seswecai
religion,,god method,kotkwelip
sect,,religion piece,fitilippaltolon
ripple; wave; waves ripple through OBJ {TIME:wave},,be-fluid be-rhythmic,nilututumu
rain; precipitate; OBJ {rain; precipitation} falls from the sky,,sky fall,mipkae
blow; gust; wind blows on OBJ from SBJ {wind system},,sky move,miphila
strike; OBJ is struck by lightning from SBJ {thundercloud; thunderstorm},,sky discharge,mipinanu
flood; OBJ is struck by a flood from SBJ {floodwaters},,be-liquid lift,cwemaceki
earthquake; OBJ is struck by an earthquake from SBJ {faultline},,ground move,pumhila
tsunami; tidal wave; OBJ is struck by a tsunami from SBJ {oceanic earthquake},,be-big wave,motanilututumulwel
thunderstorm,,be-charged storm,inatupan
hurricane; typhoon,,spin storm,kumnatupan
volcano,,be-hot mountain,okupil
umbrella,,rain shield,mipkaesilakipowinules
address,,location number,kwelyotestalyan
be legally required; be mandated by law; OBJ is required by law to make IND {law} happen,,govern must,tuncitewi
legislate; mandate; pass law; SBJ {legislator; legislature; parliament; congress} legally declares that OBJ must make IND {new law} happen,,govern assign,tuncitewiki
be illegal; be against the law; OBJ is prohibited by law from making IND {crime; felony; misdemeanor} happen,,govern be-forbidden,tuncinyotewi
prohibit; ban; pass law against; SBJ legally declares that OBJ may not make IND happen,,govern forbid,tuncinyotewiki
be at war; OBJ is at war with IND {belligerent},,country fight,teclwa
be at peace; OBJ is at peace with IND {non-belligerent},,country fight no,teclwanyo
wage war; declare war; invade; SBJ {aggressor; warmonger} causes OBJ to go to war with IND {defender},,INCOHATIVE OF be at war,teclwaki
make peace; make truce; ceasefire; end war; SBJ causes OBJ to stop being at war with IND,,CESSATIVE OF be at war,teclwanu
have treaty; OBJ {contracting party} has a treaty with IND {ally; trading partner} {TIME:diplomacy|METHOD:treaty; deal; international agreement},,country deal,tecsota
strike treaty; SBJ {diplomat; ambassador} sets up a treaty between OBJ and IND,,INCOHATIVE OF have treaty,tecsotaki
break treaty; expire; violate agreement; SBJ terminates a treaty between OBJ and IND,,CESSATIVE OF have treaty,tecsotanu
dominant hand,,be-skillful hand,lusocoh
nondominant hand,,be-inept hand,tifecoh
be ambidextrous; OBJ is ambidextrous,,2 hand be-skillful,toscohluso
employ; contract; work for; OBJ {employee} works on IND {job; work} for SBJ {employer; boss} in exchange for money {TIME:employment; career},,work sell,icemai
buy service; serve; OBJ {server} performs IND {service} for SBJ {customer} in exchange for money {TIME:service},,do sell,kwekimai
buy good; produce; OBJ {producer; vendor} gives IND {good} to SBJ {consumer} in exchange for money {TIME:sale},,object sell,amapowilummai
team,,help group,ayutapaltolum
conduct; be conductive; OBJ {conductor} conducts electricity {AMOUNT:conductivity},,be-charged be-easy,inaisi
insulate; resist; be resistive; OBJ {insulator; resistor} resists electrical current {AMOUNT:resistance},,be-charged be-difficult,inaufu
mooch; leech; have parasitic relation; OBJ {parasite; leech; freeloader} benefits from hindering IND {host},,hinder live,awilaici
synergise; have mutualistic relation; OBJ {symbiote} benefits from helping IND {host},,help live,ayutaici
graph; plot {GENITIVE:graphical},,number image,estalyanhulum
asphalt,,path stone,pucolonpatolon
mail; send letter; SBJ {sender of a letter} sends IND {letter} to OBJ {recipient of a letter} as a letter,,paper say,tehwokti
text; message; instant-message SBJ {sender of a text} sends IND {text message} to OBJ {recipient of a text},,be-fast say,yalati
flail; SBJ flails OBJ {flail; flailing limb},,arm move,amhila
be public; IND is openly exposed to OBJ {the public},,be-outside can-see,kohu
be private; IND is privately concealed from OBJ,,be-inside can-see,nehu
be foreign; OBJ is foreign relative to IND,,landmass be-far,taylkule
be local; OBJ is local relative to IND,,landmass be-near,taylnito
comet,,sky fire,miphwolon
predict; OBJ {pundit} predicts IND {prediction},,be-early think,citupensi
be predetermined; be predictable; be deterministic; OBJ can be easily predicted,,POSSIBILITY OF predict,citupensipowi
be random; be unpredictable; OBJ cannot possibly be predicted,,NEGATIVE OF be predetermined,citupensipowinyo
make predictable; order; determine; SBJ makes OBJ less random,,INCOHATIVE OF be predetermined,citupensipowiki
randomise; scramble; make unpredictable; SBJ makes OBJ more random,,CESSATIVE OF be predetermined,citupensipowinu
be pseudorandom; OBJ is pseudorandomly determined,,NEGATIVE OF be random,citupensipowinyonyo
elect; SBJ elects IND to office over OBJ,,choose take-over,elehetunciki
fork,,be-sharp eating-utensil,aklanyamaluat
spoon,,be-liquid eating-utensil,cwenyamaluat
chopsticks,,rod eating-utensil,palnyamaluat
platter; plate,,eat plate,nyamamat
bowl,,eat holder,nyamacohtuelon
bucket,,be-liquid holder,cwecohtuelon
smoke; SBJ smokes OBJ,,be-burnt eat,cyaunyama
vape; e-smoke; SBJ vapes OBJ,,be-charged be-burnt eat,inacyaunyama
date; court; OBJ is dating IND,,love be-friendly,amiyohau
ask out; set up; start going out; SBJ {matchmaker} makes OBJ start dating IND,,INCOHATIVE OF date,'palahki
break up; stop going out; SBJ makes OBJ stop dating IND,,CESSATIVE OF date,'palahnu
legacy,,person future,wonhulilon
twin; triplet; quadruplet,,be-similar sibling,walepemamalon
be lucky; be fortunate; that OBJ happens is lucky,,want be-unlikely,caitiku
be unlucky; be unfortunate; that OBJ happens is unlucky,,dislike be-unlikely,hautiku
meteor; meteorite,,outer-space stone,taykunpatolon
asteroid,,sun outer-space stone,suntaykunpatolon
stilt,,be-high leg,macelek
be woven; OBJ is woven,,be-neat be-tangled,netacoto
weave; SBJ {weaver} weaves OBJ,,INCOHATIVE OF be woven,netacotoki
unweave; SBJ unweaves OBJ,,CESSATIVE OF be woven,netacotonu
basket,,be-tangled cup,cotomeklelon
comment; commentary; SBJ {commenter} comments OBJ {metadata; comment; commentary} on IND,,be-outside say,koti
light; light source,,light source,kwanmwonilum
differentiate; take derivative; SBJ {differentiater} takes the nth derivative of OBJ {antiderivative; differentiation function} with respect to IND {differentiation variable} {AMOUNT:derivative order},,be-fast deduce,yalaiti
integrate; take integral; SBJ {integrator} takes the n-dimensional integral of OBJ {derivative; integration function} over IND {integration variable} {AMOUNT:integral dimensionality|LOCATION:integration bounds},,all deduce,kititi
reach; extend; SBJ reaches OBJ toward IND,,touch try,tokaci
share; beI communal; the members of OBJ {sharers} share IND {commons},,accompany own,petue
go over; cross; SBJ moves OBJ over IND,,be-high cross,macetielon
go under; SBJ moves OBJ under IND,,be-low cross,pahotielon
research; SBJ {researcher} finds information about IND {reasearch topic} and uses it to update OBJ {research; notes; archive},,repeat study,petasoma
feel schadenfreude; OBJ feels schodenfreude at IND,,hurt be-happy,tafukuci
sympathise; take pity; OBJ sympathises with IND,,hurt be-sad,tafunihu
empathise; share feelings; OBJ empathises with IND,,be-similar feel,waleswa
feel bittersweet; OBJ feels bittersweetly about IND {bittersweet},,be-happy be-sad,kucinihu
be nostalgic; OBJ feels nostalgia about IND,,be-early feel-bittersweet,citukucinihu
jump scare; SBJ jump-scares OBJ with IND,,fear surprise,pyocinya
be anxious; OBJ feels anxious about IND,,fear hurt,pyotafu
feel awe; OBJ {awed} feels awe at IND {awesome; awful},,be-big feel,motaswa
feel curious; wonder; OBJ is curious about IND,,understand want,moyecai
feel hungry; OBJ is hungry for IND,,eat want,nyamacai
feel thirsty; OBJ is thirsty for IND,,be-liquid want,cwecai
feel horny; sexually attract; beI sexy; OBJ is sexually attracted to IND,,have-sex want,seksocai
feel defensive; OBJ is defensive about IND,,protect feel,silakipowinuswa
feel lonely; feel alone; OBJ feels alone,,1 feel,kanswa
be infinitely large; OBJ is infinitely large,,be-infinite be-big,osimimota
be infinitessimal; OBJ is infinitessimally small,,be-infinite be-small,osimipela
canon,,1 story,kankatalum
prove; verify; log in; SBJ verifies OBJ’s veracity,,yes teach,kwenoki
disprove; falsify; compromise; log out; SBJ proves OBJ false,,no teach,nyonoki
design; SBJ {designer} designs OBJ {design},,choose create,eleheestaki
be unique; be special; OBJ is unique among IND,,1 be-similar,kanwale
be common; be normal; be standard; OBJ is common among IND,,all be-similar,kitwale
be available; be free; OBJ has nothing scheduled,,time be,kwelwelesta
be busy; be unavailable; OBJ has things scheduled,,NEGATIVE OF be available,kwelwelestanyo
run; OBJ is running on IND {treadmill},,fly walk,fepucocalu
fast-walk; OBJ is doing a fast walk on IND,,be-fast walk,yalapucocalu
jog; OBJ jogs on IND,,be-slow run,watafepucocalu
virgin,,have-sex no which-(relative),seksonyolon
creep out; OBJ {creeped out} finds IND {creepy; creeper} creepy,,little fear,pihpyo
be apprehensive; hesitate; OBJ is apprehensive to do IND,,choose dislike,elehehau
adore; beI cute; OBJ finds IND cute,,be-small want,pelacai
beI awkward; be uncomfortable; OBJ finds IND {herp} awkward,,be-social hurt,sosiatafu
replace; substitute; swap; SBJ removes IND and replaces it with OBJ,,summon dispose,lyotkwekikilyotkwekinu
be majority; be most; OBJ is most of IND,,half be-more,peltososo
be minority; OBJ is less than half of IND,,half be-less,peltosefe
cane; staff; walking stick,,step rod,pucopal
invent; innovate; SBJ {inventor} invents OBJ {invention},,engineer think-of,ciculesitea
be conservative; resist change; OBJ is conservative,,change dislike,calunyohau
be liberal; encourage change; OBJ is liberal,,change want,calunyocai
be dexterous; OBJ is dexterous,,hand be-skillful,cohluso
be clumsy; OBJ is clumsy,,hand be-inept,cohtife
be charismatic; OBJ is charismatic,,be-social be-skillful,sosialuso
be awkward; OBJ is habitually awkward with people,,be-social be-inept,sosiatife
be in prison; be incarcerated; OBJ {prisoner} is imprisoned by IND {warden} {LOCATION:prison; jail},,must be-in-control,tewikunci
be at large; be free; be out of prison; OBJ is not imprisoned by IND,,NEGATIVE OF be in prison,tewikuncinyo
imprison; throw in jail; SBJ imprisons OBJ,,INCOHATIVE OF be in prison,tewikunciki
release from prison; set free; SBJ releases OBJ from prison,,CESSATIVE OF be in prison,tewikuncinu
be lit; be illuminated; be bright; OBJ is brightly lit,,light be-loud,kwanfuha
be dim; be dark; OBJ {shadow} is dimly lit,,light be-quiet,kwansica
illuminate; light up; SBJ illuminates OBJ,,light amplify,kwanfuhaki
darken; dim; SBJ darkens OBJ,,light dampen,kwansicaki
tradition; ritual; ceremony,,repeat event,petalwelkwekilon
think big picture; think grandly; OBJ tends to think of the big picture,,group deduce,paltolumiti
be detail-oriented; OBJ tends to focus on small details,,piece deduce,paltoloniti
rebel; SBJ rebels against OBJ,,government fight,tuncilumlwa
protest; SBJ protests IND to OBJ,,government complain,tuncilumwahauti
bury; SBJ buries OBJ,,be-soil lower,anipahoki
exhume; uncover; SBJ exhumes OBJ,,be-soil lift,animaceki
code; program; SBJ {programmer} codes OBJ with IND {code; program},,computer tell,komputnati
coexist; tolerate; OBJ coexists with IND,,be-near be,nitoesta
flow; SBJ makes OBJ {current; stream} OBJ {METHOD:streamline},,be-fluid move,niluhila
be downstream; be downwind; OBJ is downstream of IND,,flow be-low,niluhilapaho
be upstream; be upwind; OBJ is upstream of IND,,flow be-high,niluhilamace
encode; SBJ encodes OBJ as IND {METHOD:code},,misunderstand convert,pewopatili
decode; parse; SBJ decodes OBJ into IND,,understand convert,moyepatili
gesture; sign; SBJ gestures IND to OBJ {METHOD:gesture},,hand say,cohti
explore; probe; SBJ sends OBJ {probe} to IND to learn about it,,move teach,hilanoki
whisper; SBJ says IND {whisper} to OBJ without voicing,,be-quiet speak,sicapola
shout; yell; scream; raise voice; SBJ shouts IND to OBJ,,be-loud speak,fuhapola
challenge; be challenging; SBJ {challenger} challenges OBJ {challenged} with IND {challenge},,have-fun be-difficult,mocaufu
be rich; be wealthy; OBJ is financially rich,,much own,muctue
be poor; be destitute; OBJ is financially poor,,little own,pihtue
be sarcastic; SBJ conveys IND sarcastically to OBJ,,be-opposite say,oflati
congratulate; apologise; SBJ expresses sympathy to OBJ,,sympathise say,tafunihuti
door,,be-open furniture,meklesaman
window,,can-see furniture,husaman
excuse; pardon; forgive; accept; tolerate; SBJ excuses OBJ,,be-okay say,oketi
be resourceful; enterprise; OBJ resourcefully acquires IND,,self give,siftueki
go shopping; OBJ is going shopping,,much sell,mucmai
emoticon; emoji,,feel image,swahulum
spiral out; OBJ spirals outward from IND,,spin distance,kumnakulelyan
spiral in; OBJ spirals into IND {METHOD:spiral},,spin approach,kumnanitoki
itch; OBJ’s IND {itch} itches,,little hurt,pihtafu
holy book; holy text,,have-faith text,fititelum
church,,religion group,fitilippaltolum
car; truck,,ground vehicle,pummontalon
boat,,be-liquid vehicle,cwemontalon
flying machine; airplane; helicopter; balloon,,sky vehicle,mipmontalon
spaceship,,outer-space vehicle,taykunmontalon
train,,path vehicle,pucolonmontalon
time machine,,time vehicle,kwelwelmontalon
submarine,,be-low boat,pahocwemontalon
sedan; saloon; car,,be-small vehicle,pelamontalon
truck,,be-big vehicle,motamontalon
airplane; jet; plane,,wing vehicle,feammontalon
helicopter,,spin flying-machine,kumnamipmontalon
swim; OBJ {swimmer} swims,,be-liquid move,cwehila
climb; OBJ {climber} climbs {INSTRUMENT:ladder; handholds},,surface move,lumahhila
dig; OBJ {digger} digs,,be-solid move,kutihila
time travel; OBJ travels through time,,time move,kwelwelhila
live monastically; OBJ {monk; nun; cenobite; hermit; anchorite; hesychast; solitary} lives as a monk {LOCATION:monastery},,have-faith live,fitiici
prostitute; sell one’s body; SBJ {prostitute; whore; harlot} has sex with OBJ for pay,,have-sex sell,seksomai
take shower; shower; SBJ showers OBJ with IND {shower},duchar; ducharse; SBJ ducha OBJ con IND {ducha},be-liquid drop,cwekaeki
launch coup d’etat; seize power; SBJ suddenly seizes control of OBJ {TIME:coup d’etat; coup; putsch; golpe},,be-fast take-control,yalakunciki
make eye contact; OBJ has eye contact with IND,,eye can-see,huechu
heartbeat; have pulse; OBJ has a heartbeat {AMOUNT:heartrate},,live be-rhythmic,icitutumu
corporation; company; business,,sell group,maipaltolum
sandpaper,,be-rough sheet,fyamohwok
party; throw party; play; hang out; celebrate; SBJ {partier; host} initiates a social gathering with OBJ {party-goers; attendee} {TIME:party; play-date},,be-social have-fun,sosiamoca
stretch; SBJ stretches OBJ,,be-long bend,lamafuloki
compress; squeeze; SBJ compresses OBJ,,be-short bend,tapafuloki
pentagram; pentalpha; pentangle; star pentagon,,5 path,limpucolon
popcorn,,pop corn,kehemais
harvest; SBJ harvests OBJ {crop} from IND {LOCATION:farm},,plant gather,ciuhcomiki
lens,,light pointer,kwanilukiles
alternate; be every-other; OBJ {checkerboard} exists in an alternating pattern,,yes no yes no,kwenyokwenyo
background music; soundtrack,,ignore music,namooyemocakilum
shiver; shudder; tremble; quiver; OBJ is shivering,,be-cold move,enihila
be southeast; OBJ is southeast of IND,,be-south be-east,sutaeste
be southwest; OBJ is southwest of IND,,be-south be-west,sutaoflo
be northeast; OBJ is northeast of IND,,be-north be-east,filaeste
be northwest; OBJ is northwest of IND,,be-north be-west,filaoflo
chain; be chained; OBJ {link} is chained together in IND {chain},,touch touch,tokatoka
melody; tune,,pitch list,hailyanoltolum
chain; link; incorporate; chain together; SBJ chains OBJ together into IND,,INCOHATIVE OF chain,tokatokaki
berry,,be-small fruit,pelafut
bat; flying fox,,fly mammal,femamul
pangolin,,scale mammal,linmamul
cat,,person feline,wonmyawf
tiger,,stripe feline,lonositelonmyawf
lion,,hair feline,kesmyawf
dog,,person canine,wonpawaf
horse,,person equid,wonhihin
rabbit; hare,,fast rodent,yalalonnyec
porcupine,,be-sharp rodent,aklanyec
mole,,be-low rodent,pahonyec
skunk,,can-smell musteloid,olelih
raccoon,,be-black face musteloid,miluilulih
camel,,be-sand camelid,patoufaut
llama,,mountain camelid,pilut
alpaca,,string camelid,cyenut
zebra,,be-gray equid,putimiluhihin
pig; pork,,person swine,wonsulak
cow; bull; beef,,spot bovid,lonowiconmuf
ox,,be-strong bovid,foltimuf
antelope,,be-fast bovid,yalamuf
sheep; mutton,,string bovid,cyenmuf
goat,,mountain bovid,pilmuf
sloth,,be-slow mammal,watamamul
anteater,,ant eat mammal,maihnyamamamul
armadillo,,be-hard mammal,nitamamul
manatee; sea-cow,,ocean elephant,lawtpyah
possum; glider; cuscus,,Australia-(landmass) opossum,'ostwaylyaoposum
platypus,,egg mammal,tanmamul
waterfowl; duck; goose; swan,,be-liquid fowl,cweap
landfowl; chicken; turkey; pheasant,,ground fowl,pumap
dove,,be-white pigeon,putipicin
hummingbird,,hum bird,mumucipcip
penguin,,be-cold bird,enicipcip
pelican,,ocean mouth bird,lawtnyamaeccipcip
seagull,,beach bird,taylkatilumcipcip
condor,,be-big raptor,motakiah
vulture,,be-clothed no raptor,poltinyokiah
owl,,nighttime raptor,sicalwelkiah
bald eagle,,head raptor,silkiah
flamingo,,be-red bird,lucicipcip
stork,,leg bird,lekcipcip
toucan; Ramphastidae,,be-coloured mouth bird,lononyamaeccipcip
parrot; Psittaciformes,,speak bird,polacipcip
amphibian {GENITIVE:amphibious},,fish lizard,peslisat
salamander,,frog lizard,kwakwaklisat
caecilian,,snake frog,saskwakwak
lungfish,,sky fish,mippes
eel,,snake fish,saspes
minnow,,be-small carp,pelakap
catfish,,hair carp,keskap
magikarp,,be-magical carp,catuikap
anglerfish,,light fish,kwanpes
pufferfish,,balloon fish,motakilonpes
koi; koi fish,,be-coloured carp,lonokap
seahorse,,ocean equid,lawthihin
vertebrate,,be-hard animal,nitatun
invertebrate,,be-soft animal,kulatun
arthropod {GENITIVE:arthropodic},,be-outside be-hard animal,konitatun
seastar; sealily,,sun animal,suntun
seaurchin,,be-sharp animal,aklatun
seacucumber,,cucumber animal,costun
pantopod,,ocean spider,lawtcic
shrimp,,be-small crustacean,pelakwap
mantisshrimp,,be-strong crustacean,foltikwap
centipede; millipede,,leg bug,lekcuc
centipede,,poison centipede,fakekiluatlekcuc
dragonfly; damselfly,,be-long bug,lamacuc
louse,,hair bug,kescuc
scorpionfly,,sky scorpion,mipalaktan
moth,,be-brown butterfly,milumutihutyeh
butterfly,,be-coloured moth,lonomilumutihutyeh
stickbug,,rod bug,palcuc
cockroach,,be-big cockroach,motaipis
termite,,wood cockroach,kaccakalonipis
plankton,,be-small organism,pelaicilon
snail,,be-hard slug,nitakuhol
molusk; cephalapod,,tentacle animal,cyenlektun
octopus,,8 molusk,hatcyenlektun
decapus; squid; cuttlefish,,10 molusk,kannulcyenlektun
beard worm,,be-big tube worm,motalamasiklalonkil
leech,,blood worm,tutumucwelonkil
sea anemone; sea fan; seawhip,,flower animal,pultun
coral,,be-hard organism,nitaicilon
sea sponge,,be-foamy organism,fomiicilon
tardigrade; water bear; moss piglet; Tardigrada,,be-small bear,pelalic
moss; liverwort; hornwort,,landmass algae,taylalkas
algae; alga,,ocean algae,lawtalkas
plankton,,float life,cwekuhokiicilwel
apricot,,be-orange plum,mutitawh
asparagus; sparrow grass,,be-late can-smell plant,hulioleciuh
avocado,,crocodilian fruit,nonfut
bamboo,,tree grass,kackas
banana; plantain,,stick fruit,hilapowinufut
bean,,be-soft seed,kulapic
buckwheat,,cereal flower,selealpul
bird of paradise,,bird flower,cipcippul
broccoli,,tree cabbage,kackol
Brussels sprouts,,be-small cabbage,pelakol
cabbage; brassica,,head cabbage,silkol
cacao; cocoa; chocolate,,be-sweet seed,tulsepic
candlenut; candleberry; Indian walnut; kukui nut tree; Aleurites moluccanus,,light seed,kwanpic
cantelope,,be-orange melon,mutikwah
cashew,,be-outside seed,kopic
cauliflower,,be-white cabbage,putikol
carrot,,be-orange root,mutilais
castor bean; castor oil plant; palm of Christ,,tick seed,tikpic
chard; spinach beet,,leaf beet,yehpet
cherry,,be-small plum,pelatawh
chives; Allium schoenoprasum,,flower onion,pulpiac
coconut,,string fruit,cyenfut
cotton,,be-foamy plant,fomiciuh
coffee; Coffea,,move seed,hilapic
cowpea; black-eye pea; yardlong bean; Vigna unguiculata,,claw legume,cawhcim
eggplant; aubergine; brinjal; Solanum melongena,,be-foamy fruit,fomifut
fava bean; broad bean; horse bean; Vicia faba,,be-big legume,motacim
garden beet; beetroot,,root beet,laispet
garlic; Allium sativum,,be-powder onion,ufapiac
gourd; Cucurbitaceae with rigid shells,,be-hard fruit,nitafut
grape,,fruit climber,futlep
green bean; french bean; string bean; snap,,string legume,cyencim
honeydew,,be-green melon,tihukwah
jute; mallow-leaves,,string plant,cyenciuh
kale; leaf cabbage,,leaf cabbage,yehkol
lemon,,be-yellow citrus,pilaceluk
lentil,,be-thin legume,cecim
lime,,be-green citrus,tihuceluk
nut,,be-hard seed,nitapic
onion; bulb onion; common onion; Allium cepa,,stack plant,capakiciuh
orange; mandarin; tangerine,,be-orange citrus,muticeluk
orchid,,flower plant,pulciuh
palm; palm tree,,tree leaf,kacyeh
peach; nectarine,,be-red plum,lucitawh
pine tree,,be-narrow leaf tree,akheyehkac
pineapple,,claw fruit,cawhfut
peanut; groundnut; goober,,primate legume,ukikcim
pepper,,be-spicy fruit,pikantefut
plum,,be-purple plum,mutatawh
potato; tuber; Solanum tuberosum,,ground tuber,pumtupel
pumpkin,,be-big squash,motapus
rubber tree; latex,,be-elastic tree,polaipowikac
scallion; green onion; spring onion; salad onion,,leaf onion,yehpiac
sea beet; wild spinach,,be-natural beet,natulapet
sesame,,oil seed,cyaukicwelonpic
sugar beet,,be-sweet beet,tulsepet
sugarcane; cane sugar,,be-sweet grass,tulsekas
sunflower; Helianthus,,sun flower,sunpul
taro; elephant ears,,be-big leaf,motayeh
tea; Camellia sinensis,,be-liquid leaf,cweyeh
tobacco; Nicotiana,,be-gaseous leaf,hyoyeh
triticale,,wheat rye,witsekal
turnip,,be-white root,putilais
venus fly-trap,,eat plant,nyamaciuh
watermelon,,be-red melon,lucikwah
yam; sweet potato,,be-sweet tuber,tulsetupel
zucchini; courgette,,be-small squash,pelapus
oil palm,,oil tree,cyaukicwelonkac
south pole,,be-south point,sutatyen
north pole,,be-north point,filatyen
equator,,be-inside standard-parallel,nefilalum
parallel,,latitude path,filalyanpucolon
meridian,,longitude path,estelyanpucolon
Antarctica,,be-south landmass,sutatayl
Antarctic Ocean,,be-south ocean,sutalawt
Arctic Ocean,,be-north ocean,filalawt
Afro-Eurasia; the Old World,,Africa Eurasia,'aflika'yewlasia
North America,,be-north America,fila'amelika
South America,,be-south America,suta'amelika
Southern Africa {COUNTRY:South Africa; the Republic of South Africa {PEOPLE:South African; the South African people}},,be-south Africa,suta'aflika
Central Africa {COUNTRY:Central African Republic {PEOPLE:Central African; the Central African people}},,be-inside Africa,ne'aflika
Latin America {GENITIVE:Latin American},,the-Latin-people America,'latiumwon'amelika
Sinosphere; East Asia; the East Asian cultural sphere; Asia; the Sinic world,,be-east culture region,esteseswicon
Oceania {GENITIVE:Oceanic},,ocean landmass,lawttayl
Atlantic Ocean {GENITIVE:Atlantic},,Atlas-mountains ocean,'atlaslawt
Indian Ocean {GENITIVE:Indian Oceanic},,India ocean,'hintulawt
Pacific Ocean {GENITIVE:Pacific},,be-big be-still ocean,motacutalawt
Arabian Sea,,Arab ocean,'alaplawt
Bering Sea,,Bering ocean,'pehenlawt
Caribbean Sea,,Island-Carib ocean,'kalinakolawt
Coral Sea,,coral ocean,nitaicilonlawt
Gulf of Mexico,,Mexico ocean,'mehikolawt
Mediterranean Sea,,landmass be-inside ocean,taylnelawt
South China Sea,,Eurasia be-southeast ocean,'yewlasiasutaestelawt
Great Brittan,,be-big British-Isles,mota'pwitan
